publisher
"Bethesda Softworks,Bethesda Softworks"
"PUBG Corporation,PUBG Corporation"
"Paradox Interactive,Paradox Interactive"
"Bohemia Interactive,Bohemia Interactive"
"CCP,CCP"
"CAPCOM Co., Ltd.,CAPCOM Co., Ltd."
"Curve Digital,Curve Digital"
"Numantian Games,Numantian Games"
"Bigben Interactive,Bigben Interactive"
"Curve Digital,Curve Digital"
"Spike Chunsoft Co., Ltd.,Spike Chunsoft Co., Ltd."
"En Masse Entertainment,En Masse Entertainment"
"Activision,Activision"
"(none),(none)"
"Doborog Games,Doborog Games"
"BANDAI NAMCO Entertainment,BANDAI NAMCO Entertainment"
"Pixonic,Pixonic"
"Xbox Game Studios,Xbox Game Studios"
"Activision,Activision"
"CAPCOM Co., Ltd.,CAPCOM Co., Ltd."
"SEGA,SEGA"
"THQ Nordic,THQ Nordic"
"Rockstar Games,Rockstar Games"
"Valve,Valve"
"RuneStorm,RuneStorm"
"Beamdog,Beamdog"
"BANDAI NAMCO Entertainment,BANDAI NAMCO Entertainment"
"IMCGAMES Co.,Ltd.,IMCGAMES Co.,Ltd."
"Ninja Theory,Ninja Theory"
"Spike Chunsoft Co., Ltd.,Spike Chunsoft Co., Ltd."
"SEGA,SEGA"
"Team17 Digital Ltd,Team17 Digital Ltd"
"Lucasfilm,LucasArts,Disney Interactive,Lucasfilm,LucasArts,Disney Interactive"
"KingsIsle Entertainment,KingsIsle Entertainment"
"Square Enix,Square Enix"
"38 Studios,Electronic Arts,38 Studios,Electronic Arts"
"SEGA,Feral Interactive (Mac/Linux),SEGA,Feral Interactive (Mac/Linux)"
"KADOKAWA GAMES, LTD,KADOKAWA GAMES, LTD"
"Valve,Valve"
"Bethesda Softworks,Bethesda Softworks"

"LucasArts,Lucasfilm,Disney Interactive,LucasArts,Lucasfilm,Disney Interactive"
"Bethesda Softworks,Bethesda Softworks"
"Capcom,Capcom"
"Jackbox Games, Inc.,Jackbox Games, Inc."
"Gattai Games,Gattai Games"
"Focus Home Interactive,Focus Home Interactive"
"Osumia Games,Osumia Games"
"CD PROJEKT RED,1C-SoftClub,CD PROJEKT RED,1C-SoftClub"
"WB Games,WB Games"
"EarthWork Games,EarthWork Games"
"Standing Stone Games, LLC,Standing Stone Games, LLC"
"maJAJa,maJAJa"
"Rockstar Games,Rockstar Games"
"Paradox Interactive,Paradox Interactive"
"tinyBuild,tinyBuild"
"Bethesda Softworks,Bethesda Softworks"
"Shiro Games,Shiro Games"
"Hi-Rez Studios,Hi-Rez Studios"
"Double Fine Presents,Double Fine Presents"
"SEGA,Feral Interactive (Mac),Feral Interactive (Linux),SEGA,Feral Interactive (Mac),Feral Interactive (Linux)"
"BANDAI NAMCO Entertainment,BANDAI NAMCO Entertainment"
"Square Enix,Square Enix"
"39,093,909"
"The Behemoth,The Behemoth"
"Activision,Activision"
"Focus Home Interactive,Focus Home Interactive"
"Steel Crate Games,Steel Crate Games"
"Electronic Arts,Electronic Arts"
"Konami Digital Entertainment,Konami Digital Entertainment"
"Fishing Planet LLC,Fishing Planet LLC"
"Square Enix,Square Enix"
"2K,Aspyr (Mac),2K,Aspyr (Mac)"
"1C Entertainment,1C Entertainment"
"Standing Stone Games, LLC,Standing Stone Games, LLC"
"BANDAI NAMCO Entertainment,BANDAI NAMCO Entertainment"
"White_Rabbit_Games,White_Rabbit_Games"
"TCH Scarlet Limited,TCH Scarlet Limited"
"Idea Factory International,Idea Factory International"
"Konami Digital Entertainment,Konami Digital Entertainment"
"BANDAI NAMCO Entertainment,BANDAI NAMCO Entertainment"
"Perfuse Entertainment,Perfuse Entertainment"
"Daedalic Entertainment,Daedalic Entertainment"
"RETO MOTO,RETO MOTO"
"id Software,id Software"
"Devolver Digital,Devolver Digital"
"BANDAI NAMCO Entertainment,BANDAI NAMCO Entertainment"
"SmiteWorks USA, LLC,SmiteWorks USA, LLC"
"BANDAI NAMCO Entertainment,BANDAI NAMCO Entertainment"
"11 bit studios,11 bit studios"
"Giant Army,Giant Army"
"Cygames, Inc.,Cygames Korea Inc.,Cygames, Inc.,Cygames Korea Inc."
"Xbox Game Studios,Xbox Game Studios"
"Beamdog,Beamdog"
"Joycity,Joycity"
"The Irregular Corporation,The Irregular Corporation"
"Overhype Studios,Overhype Studios"
"Focus Home Interactive,Focus Home Interactive"
"SEGA,Feral Interactive (Mac),Feral Interactive (Linux),SEGA,Feral Interactive (Mac),Feral Interactive (Linux)"
"Texel Raptor,Texel Raptor"
"Isolated Games,Isolated Games"
"kChamp Games,kChamp Games"
"SEGA,SEGA"
"Devolver Digital,Devolver Digital"
"Codemasters,Codemasters"
"KOEI TECMO GAMES CO., LTD.,KOEI TECMO GAMES CO., LTD."
"MY.GAMES,MY.GAMES"
"Ubisoft,Ubisoft"
"Eek! Games, LLC,Eek! Games, LLC"
"Eleon Game Studios,Eleon Game Studios"
"2K,2K"
"Capcom,Capcom"
"Slitherine Ltd.,Slitherine Ltd."
"Axolot Games,Axolot Games"
"Avalanche Publishing,Avalanche Publishing"
"SEGA,SEGA"
"Paradox Interactive,Paradox Interactive"
